,pmid,annotators,article_type,trial_design,study_body,review_type,research_design_blinded,primary_endpoints,secondary_endpoints,int_allocation,int_primary_purpose,int_study_model,int_study_phase,obs_study_model,obs_time_perspective,study_population_age,study_population_dka,study_population_location,study_population_surgical,study_population_treatment_type,atypical_index_blood_pressure,atypical_index_cost,atypical_index_immunity,atypical_index_reproduction,atypical_index_tumor,study_type,therapeutic_area,diseases,drugs,proteins,adverse_effects,published_at,title,authors,link
163,30254819,Kornelia; Joanna,observational_study,,human,,open_label,comparison_other,,,,,,case_control,cross_sectional; prospective,adults,FALSE,libya,FALSE,outpatient,TRUE,FALSE,FALSE,FALSE,FALSE,human_study,diabetes; cardiovascular,cvd; t2dm,,lp(a),,7/23/18,Investigating the Atherogenic Risk of Lipoprotein(a) in Type 2 Diabetic Patients.,Jagannadha R Peela; Omar B Latiwesh; Farag Elshaari; Azhar Hussain; Elsa Tabrez; Emily Viglianco; AjenÃ© Edwards; Farwa Ali; Avinash K Rawal,30254819
164,30254725,Kornelia; Joanna,observational_study,,human,,open_label,,,,,,,case_control,cross_sectional,adults,FALSE,uruguay,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,diabetes,t2dm,,tcf7l2,,9/15/18,Association of,Carolina Beloso; Jorge Souto; Matias Fabregat; Gerardo Romanelli; Gerardo Javiel; Adriana Mimbacas,30254725
165,30254724,Kornelia; Joanna,interventional_study,,animal,,double_blind,,,randomized,basic_science,parallel,,,,,FALSE,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,animal_study,diabetes; myocardial ischemia reperfusion injury; myocardial infarction; cardiovascular,myocardial ischemia; mi; t2dm,glp-1 analogs; insulin,,,9/15/18,Effects of glucagon-like peptide 1 analogs in combination with insulin on myocardial infarct size in rats with type 2 diabetes mellitus.,Vladislav A Zykov; Taisiia P Tuchina; Denis A Lebedev; Irina B Krylova; Alina Y Babenko; Elvira V Kuleshova; Elena N Grineva; Alekber A Bayramov; Michael M Galagudza,30254724
166,30254723,Kornelia; Joanna,review,,human,narrative_review,open_label,,,,,,,other,other,adults,FALSE,multinational,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,cvd; diabetes; obesity; epicardial adipose tissue,cad; obesity; t2dm; cvd,"Î±-glucosidase inhibitors; thiazolidinediones; glp-1 receptor agonists; luseogliflozin, ipragliflozin, canagliflozin; biguanides; dapagliflozin; alpha-glucosidase inhibitors; sglt-2 inhibitors; dpp-4 inhibitors; metformin; liraglutide; pioglitazone; exenatide; incretins; rosiglitazone",,,6/28/18,Effects of antidiabetic drugs on epicardial fat.,Eleni Xourgia; Athanasia Papazafiropoulou; Andreas Melidonis,30254723
167,30254671,Kornelia; Joanna,review,,human,meta_analysis,open_label,,,,,,,other,other,adults,FALSE,multinational,FALSE,outpatient_inpatient,FALSE,FALSE,FALSE,FALSE,TRUE,human_study,diabetes; cancer,cancer; t2dm,simvastatin; lovastatin; pravastatin; pitavastatin; atorvastatin; fluvastatin; rosuvastatin,,,9/4/18,Statin Use and Cancer Incidence in Patients with Type 2 Diabetes Mellitus: A Network Meta-Analysis.,Yi-Bing Hu; En-De Hu; Rong-Quan Fu,30254671
168,30254498,Kornelia; Joanna,interventional_study,,human,,open_label,other,,randomized,prevention; other,sequential; parallel,,,,adults,FALSE,denmark; australia; uk; finland; new zealand; the netherlands; bulgaria; spain,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,obesity; diabetes; behavioral program; weight loss,obesity; prediabetes; t2dm,,,,9/12/18,"PREVIEW study-influence of a behavior modification intervention (PREMIT) in over 2300 people with pre-diabetes: intention, self-efficacy and outcome expectancies during the early phase of a lifestyle intervention.",Maija Huttunen-Lenz; Sylvia Hansen; Pia Christensen; Thomas Meinert Larsen; Finn SandÃ¸-Pedersen; Mathijs Drummen; Tanja C Adam; Ian A Macdonald; Moira A Taylor; J Alfredo Martinez; Santiago Navas-Carretero; Svetoslav Handjiev; Sally D Poppitt; Marta P Silvestre; Mikael Fogelholm; Kirsi H PietilÃ_inen; Jennie Brand-Miller; Agnes Am Berendsen; Anne Raben; Wolfgang Schlicht,30254498
169,30254418,Joanna,interventional_study,,animal,,open_label,,,randomized,basic_science,parallel,,,,,FALSE,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,animal_study,diabetic nephropathy; diabetes,nepropathy; dm,igf1r inhibitor,"socs2; f4/80, tlr4, cd68, Î±sma, e-cadherin, sr",,9/11/18,Inhibitor of IGF1 receptor alleviates the inflammation process in the diabetic kidney mouse model without activating SOCS2.,Jiayu Li; Rong Dong; Jiali Yu; Sun Yi; Jingjing Da; Fuxun Yu; Yan Zha,30254418
170,30254083,Joanna,observational_study,,human,,open_label,,,,,,,case_control,cross_sectional,adults,FALSE,multinational,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,diabetes,lada; t2dm; t1dm,,,,9/25/18,First Genome-Wide Association Study of Latent Autoimmune Diabetes in Adults Reveals Novel Insights Linking Immune and Metabolic Diabetes.,Diana L Cousminer; Emma Ahlqvist; Rajashree Mishra; Mette K Andersen; Alessandra Chesi; Mohammad I Hawa; Asa Davis; Kenyaita M Hodge; Jonathan P Bradfield; Kaixin Zhou; Vanessa C Guy; Mikael Ã…kerlund; Mette Wod; Lars G Fritsche; Henrik Vestergaard; James Snyder; Kurt HÃ¸jlund; Allan Linneberg; Annemari KÃ_rÃ_jÃ_mÃ_ki; Ivan Brandslund; Cecilia E Kim; Daniel Witte; Elin Pettersen SÃ¸rgjerd; David J Brillon; Oluf Pedersen; Henning Beck-Nielsen; Niels Grarup; Richard E Pratley; Michael R Rickels; Adrian Vella; Fernando Ovalle; Olle Melander; Ronald I Harris; Stephen Varvel; Valdemar E R Grill;  ; Hakon Hakonarson; Philippe Froguel; John T Lonsdale; Didac Mauricio; Nanette C Schloot; Kamlesh Khunti; Carla J Greenbaum; BjÃ¸rn Olav Ã…svold; Knud B YderstrÃ_de; Ewan R Pearson; Stanley Schwartz; Benjamin F Voight; Torben Hansen; Tiinamaija Tuomi; Bernhard O Boehm; Leif Groop; R David Leslie; Struan F A Grant,30254083
171,30254081,Joanna,observational_study,,human,,open_label,,,,,,,cohort,prospective,adults,FALSE,south korea,FALSE,outpatient,TRUE,FALSE,FALSE,FALSE,TRUE,human_study,impaired fasting glucose; cvd; diabetes; hypertension; cancer,cvd; ifg; htn; t2dm,,,,9/25/18,Impact of Visit-to-Visit Fasting Plasma Glucose Variability on the Development of Type 2 Diabetes: A Nationwide Population-Based Cohort Study.,Jung A Kim; Ji Sung Lee; Hye Soo Chung; Eun Roh; You-Bin Lee; So-Hyeon Hong; Nam Hoon Kim; Hye Jin Yoo; Ji A Seo; Sin Gon Kim; Nan Hee Kim; Sei Hyun Baik; Kyung Mook Choi,30254081
172,30254065,Joanna,observational_study,,human,,open_label,,,,,,,cohort,cross_sectional,adults,FALSE,australia,FALSE,inpatient,FALSE,FALSE,FALSE,TRUE,FALSE,human_study,insulin resistance; diabetes,gdm,,,,9/25/18,Human Placental Exosomes in Gestational Diabetes Mellitus Carry a Specific Set of miRNAs Associated with Skeletal Muscle Insulin Sensitivity.,Soumyalekshmi Nair; Nanthini Jayabalan; Dominic Guanzon; Carlos Palma; Katherin Scholz-Romero; Omar Elfeky; Felipe ZuÃ±iga; Valeska Ormazabal; Emilio Diaz; Gregory E Rice; Gregory Duncombe; Thomas Jansson; Harold David McIntyre; Martha Lappas; Carlos Salomon,30254065
173,30254013,Joanna,interventional_study,,animal,,open_label,,,nonrandomized,basic_science,parallel,,,,,FALSE,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,animal_study,diabetic retinopathy; diabetes,retinopathy; t2dm,,,,9/11/18,Consumption of a high fat diet promotes protein O-GlcNAcylation in mouse retina via NR4A1-dependent GFAT2 expression.,Weiwei Dai; Sadie K Dierschke; Allyson L Toro; Michael D Dennis,30254013
174,30253976,Joanna,observational_study,,human,,open_label,,,,,,,cohort,prospective,adults,FALSE,canada,FALSE,outpatient_inpatient,TRUE,FALSE,FALSE,FALSE,FALSE,human_study,diabetes,t2dm,oads,,,9/14/18,Measuring adherence to oral antidiabetic multi-drug treatment: Comparative validity of prescription claims-based adherence measures against hospitalization.,ArsÃ¨ne Zongo; Jean-Pierre GrÃ©goire; Jocelyne Moisan; Line GuÃ©nette,30253976
175,30253864,Joanna,review,,other,systematic_review,open_label,other,,,,,,other,other,adults,FALSE,multinational,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,other,diabetes,t2dm; t1dm,linagliptin; vildagliptin; sitagliptin; metformin; pioglitazone; exenatide; liraglutide,,,7/3/18,MicroRNAs and type 2 diabetes mellitus: Molecular mechanisms and the effect of antidiabetic drug treatment.,Habib Yaribeygi; Niki Katsiki; Behzad Behnam; Helia Iranpanah; Amirhossein Sahebkar,30253864
176,30253743,Joanna,interventional_study,,animal,,open_label,other,,randomized,basic_science,parallel,,,,,FALSE,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,animal_study,diabetes; hyperglycaemia; oxidative stress,t2dm; t1dm,,mmp-2,,9/25/18,The two isoforms of matrix metalloproteinase- 2 have distinct renal spatial and temporal distributions in murine models of types 1 and 2 diabetes mellitus.,Il Young Kim; Sang Soo Kim; Hye Won Lee; Sun Sik Bae; Hong Koo Ha; Eun Soon Jung; Min Young Lee; Miyeun Han; Harin Rhee; Eun Young Seong; Dong Won Lee; Soo Bong Lee; David H Lovett; Sang Heon Song,30253743
177,30253450,Joanna,observational_study,,human,,open_label,disease_death_occurence,,,,,,cohort,cross_sectional,adults,FALSE,china,FALSE,inpatient,TRUE,FALSE,FALSE,FALSE,FALSE,human_study,diabetes; peripheral atherosclerosis artery disease; coronary arterial atherosclerosis disease,t2dm; coronary artery disease,,,,9/25/18,The indicating value of ankle-branchial index screening for the cardiovascular disease in type 2 diabetes patients.,Lei Xu; Rui He; Xiaohan Hua; Jun Zhao; Jungong Zhao; Hui Zeng; Lianxi Li; Fang Liu; Weiping Jia,30253450
178,30253414,Joanna,observational_study,,human,,open_label,disease_death_occurence,,,,,,case_control,prospective,adults,FALSE,sweden,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,chronic kidney disease; cvd; diabetes; mi; oxidative stress; stroke,cvd; ckd; dm; mi; stroke,,glutaredoxin1,,9/25/18,Serum Glutaredoxin Activity as a Marker of Oxidative Stress in Chronic Kidney Disease: A Pilot Study.,Anna Levin; Deepika Nair; Abdul Rashid Qureshi; Peter BÃ¡rÃ¡ny; Olof Heimburger; BjÃ¶rn Anderstam; Peter Stenvinkel; Annette Bruchfeld; Johanna S Ungerstedt,30253414
179,30253109,Joanna,interventional_study,,other,,open_label,other,,nonrandomized,basic_science,parallel,,,,,FALSE,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,other,,,,hormone-sensitive lipase; amp-activated protein kinase,,9/25/18,AMPK activation by A-769662 and 991 does not affect catecholamine-induced lipolysis in human adipocytes.,Franziska Kopietz; Christine Berggreen; Sara Larsson; Johanna SÃ_ll; Mikael Ekelund; Kei Sakamoto; Eva Degerman; Cecilia Holm; Olga GÃ¶ransson,30253109
180,30253075,Joanna,review,,human,meta_analysis,open_label,disease_death_occurence,,,,,,other,other,adults,FALSE,multinational,FALSE,outpatient,TRUE,FALSE,FALSE,FALSE,FALSE,human_study,walkability; diabetes; cvd; obesity; hypertension,obesity; hypertension; t2dm; cvd,,,,9/25/18,Built environment and cardio-metabolic health: systematic review and meta-analysis of longitudinal studies.,M Chandrabose; J N Rachele; L Gunn; A Kavanagh; N Owen; G Turrell; B Giles-Corti; T Sugiyama,30253075
181,30253056,Joanna,observational_study,,human,,open_label,disease_death_occurence,,,,,,cohort,prospective,adults,FALSE,sweden,FALSE,outpatient,TRUE,FALSE,FALSE,FALSE,FALSE,human_study,diabetes; hypertension; hyperlipidaemia; nafld,nafld; hypertension; hyperlipidaemia; t2dm,,,,9/25/18,Cardiovascular risk factors in non-alcoholic fatty liver disease.,Hannes HagstrÃ¶m; Patrik Nasr; Mattias Ekstedt; Ulf Hammar; Per StÃ¥l; Johan Askling; Rolf Hultcrantz; Stergios Kechagias,30253056
182,30253050,Joanna,review,,human,narrative_review,open_label,comparison_vs_placebo,comparison_vs_placebo,,,,,other,other,adults,FALSE,multinational,FALSE,outpatient,TRUE,FALSE,FALSE,FALSE,FALSE,human_study,diabetes; weight loss,t2dm,tofogliflozin; luseogliflozin; ipragliflozin; canagliflozin; dapagliflozin; remogliflozin,,,9/25/18,Weight loss associated with sodium-glucose cotransporter-2 inhibition: a review of evidence and underlying mechanisms.,P C Lee; S Ganguly; S-Y Goh,30253050
183,30252913,Joanna,interventional_study,equivalence,human,,double_blind,comparison_vs_another_drug,comparison_vs_another_drug,randomized,treatment,parallel,phase_2,,,adults,FALSE,usa,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,diabetes,t2dm,metformin ir; metformin dr,,abdominal_pain; diarrhoea; nausea; hyperglycemia; upper_respiratory_tract_infection,9/25/18,Improved glycemic control with minimal systemic metformin exposure: Effects of Metformin Delayed-Release (Metformin DR) targeting the lower bowel over 16 weeks in a randomized trial in subjects with type 2 diabetes.,Robert R Henry; Juan P Frias; Brandon Walsh; Sharon Skare; John Hemming; Colleen Burns; Thomas A Bicsak; Alain Baron; Mark Fineman,30252913
184,30252588,Joanna,interventional_study,,animal,,double_blind,safety_tolerability,,nonrandomized,basic_science,parallel,,,,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,animal_study,intestinal inflammation,intestinal inflammation,,,,9/25/18,Akkermansia muciniphila strain ATCC BAA-835 does not promote short-term intestinal inflammation in gnotobiotic interleukin-10-deficient mice.,Christiane Ring; Robert Klopfleisch; Katja Dahlke; Marijana Basic; AndrÃ© Bleich; Michael Blaut,30252588
185,30252507,Joanna,observational_study,,human,,open_label,other,,,,,,cohort,cross_sectional,adults,FALSE,usa,FALSE,outpatient,FALSE,FALSE,FALSE,TRUE,FALSE,human_study,obesity; diabetes; physical activity,abnormal glucose tolerance; gdm; t2dm,,,,9/25/18,Physical Activity and Sleep Quality and Duration During Pregnancy Among Hispanic Women: Estudio PARTO.,Marquis Hawkins; Bess Marcus; Penelope Pekow; Milagros C Rosal; Katherine L Tucker; Rebecca M C Spencer; Lisa Chasan-Taber,30252507
186,30252210,Joanna,interventional_study,,in_vitro,,open_label,efficacy_assessment_demonstration,,nonrandomized,basic_science,single_group,,,,,FALSE,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,other,diabetes,t2dm,,glut4; myostatin; akt; pi3k; ampk; irs-1,,9/3/18,Myostatin inhibits glucose uptake via suppression of insulin-dependent and -independent signaling pathways in myoblasts.,Xin-Hua Liu; William A Bauman; Christopher P Cardozo,30252210
187,30252148,Joanna,other,,human,,open_label,comparison_other,,,,,,other,,children,FALSE,usa,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,diabetes,t2dm,,,,9/3/18,A Bayesian latent class approach for EHR-based phenotyping.,Rebecca A Hubbard; Jing Huang; Joanna Harton; Arman Oganisian; Grace Choi; Levon Utidjian; Ihuoma Eneli; L Charles Bailey; Yong Chen,30252148
188,30251944,Joanna,observational_study,,human,,open_label,disease_death_occurence,,,,,,case_control,retrospective,adults,FALSE,turkey,FALSE,outpatient,TRUE,FALSE,TRUE,FALSE,TRUE,human_study,allogeneic stem cell transplant; transplant complications; graft-versus-host-disease,gvhd,,,,9/25/18,Impact of Guideline-Driven Approach in Follow-Up of Long-Term Complications After Allogeneic Hematopoietic Cell Transplant: Single Center Experience.,Ali Hakan Kaya; Sinem NamdaroÄŸlu; Ã–mÃ_r KayÄ±kcÄ±; Alparslan Merdin; Hikmettullah Batgi; Dicle Ä°skender; Mehmet Sinan Dal; Merih KÄ±zÄ±l Ã‡akar; Emre Tekgunduz; Fevzi Altuntas,30251944
189,30251697,Joanna,review,,other,narrative_review,open_label,other,,,,,,other,other,adults,FALSE,multinational,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,other,inflammation; metabolic disease; diabetes; obesity; nafld; mitochondrial dysfunction; multiple sclerosis,metabolic disease; obesity; nafld; dyslipidaemia; multiple sclerosis; t2dm,,tnfr5/cd40; glut; hif-1a; mapk; jnk/ap-1; tnf-Î±; receptor-interacting protein; il-6; s100 calcium-binding protein a8; adiponectin; caspase-11; ifn-Î_; nf-kb; il-1Î_; stat1; pai-1; crp; caspase-8; leptin; nlrp3; il-1râ€“associated kinases; erythropoietin; vegf,,8/29/18,Type 2 diabetes - An autoinflammatory disease driven by metabolic stress.,Laura L Gonzalez; Karin Garrie; Mark D Turner,30251697
190,30251691,Joanna,observational_study,,other,,open_label,efficacy_assessment_demonstration,,randomized,treatment,parallel,,cohort,prospective,adults,FALSE,china,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,other,diabetes; autophagy; vascular smooth muscle function,t2dm,alpha-lipoic acid,,,9/7/18,Alpha-lipoic acid regulates the autophagy of vascular smooth muscle cells in diabetes by elevating hydrogen sulfide level.,Xuan Qiu; Kuanzhi Liu; Lin Xiao; Sheng Jin; Jinghui Dong; Xu Teng; Qi Guo; Yuhong Chen; Yuming Wu,30251691
191,30251656,Joanna,observational_study,,human,,open_label,disease_death_occurence,,,,,,case_control,cross_sectional,adults,FALSE,the netherlands,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,"; diabetes; diabetes complications, inflammation",t2dm,,,,8/6/18,Plasma protein N-glycan signatures of type 2 diabetes.,Viktoria Dotz; Roosmarijn F H Lemmers; Karli R Reiding; Agnes L Hipgrave Ederveen; Aloysius G Lieverse; Monique T Mulder; Eric J G Sijbrands; Manfred Wuhrer; Mandy van Hoek,30251656
192,30251652,Joanna,interventional_study,,in_vitro,,open_label,comparison_other,,randomized,basic_science,parallel,,,,,FALSE,,FALSE,,FALSE,FALSE,TRUE,FALSE,TRUE,other,glucose metabolism; cancer,cancer,,lmw-ptp; pkm2,,8/4/18,LMW-PTP modulates glucose metabolism in cancer cells.,Giulia Lori; Tania Gamberi; Paolo Paoli; Anna Caselli; Erica Pranzini; Riccardo Marzocchini; Alessandra Modesti; Giovanni Raugei,30251652
193,30251560,Joanna,review,,human,narrative_review,open_label,other,,,,,,other,other,adults,FALSE,multinational,FALSE,outpatient,FALSE,FALSE,TRUE,FALSE,FALSE,human_study,obesity; diabetes; exercise,obesity; t2dm,,"ampk, pka, camk, mapk, mtor; anxa2; ldhb, ckmt2, got2, acat1, uqcrc2, sucla2, fh, hadha, idh2, pfkm, aldoa, glo1; pdlim3",,9/25/18,Proteomic study of skeletal muscle in obesity and type 2 diabetes: progress and potential.,Rikke Kruse; Kurt HÃ¸jlund,30251560
194,30251398,Joanna,observational_study,,human,,open_label,time_of_event,,,,,,cohort,retrospective,adults,FALSE,south korea,FALSE,outpatient,TRUE,FALSE,FALSE,FALSE,FALSE,human_study,stroke; diabetes; cranial nerve palsy,stroke; cranial nerve palsy; t2dm,,,,9/24/18,"Risk of Ischemic Stroke after the Third, Fourth, and Sixth Cranial Nerve Palsies in Type 2 Diabetes.",Sang Jun Park; Hee Kyung Yang; Seong Jun Byun; Kyu Hyung Park; Jeong-Min Hwang,30251398
195,30251179,Joanna,review,,in_vitro,narrative_review,open_label,other,,,,,,other,other,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,diabetes,t1dm,,,,9/24/18,The Impact of Pancreatic Beta Cell Heterogeneity on Type 1 Diabetes Pathogenesis.,Richard K P Benninger; Craig Dorrell; David J Hodson; Guy A Rutter,30251179
196,30251174,Joanna,review,,human,narrative_review,open_label,disease_death_occurence,,,,,,other,other,adults,FALSE,multinational,FALSE,outpatient,TRUE,FALSE,FALSE,FALSE,TRUE,,cvd; diabetes,cvd; t2dm,benzoic acid derivatives; Î±â€‘glucosidase inhibitors; chlorpropamide; albiglutide; glimepiride; sulfonylureas; saxagliptin; lixisenatide; mitiglinide; acetohexamide; sitagliptin; meglitinides; liraglutide; linagliptin; semaglutide; alogliptin; metformin; troglitazone tolbutamide; tolazamide; glinides; exenatide; glyburide; gliflozins; insulin; repaglinide; nateglinide; dulaglutide; pioglitazone; glipizide; rosiglitazone,,weight_increased; diarrhoea; nausea; gastrointestinal_disorder; oedema; vomiting; arrhythmias; weight_decreased,9/24/18,"Cardiovascular Safety of Antihyperglycemic Agents: ""Do Good or Do No Harm"".",Antonis A Manolis; Theodora A Manolis; Antonis S Manolis,30251174
197,30251143,Joanna,observational_study,,human,,open_label,efficacy_assessment_demonstration,,,,,,cohort,retrospective,adults,FALSE,usa,TRUE,outpatient_inpatient,TRUE,FALSE,FALSE,FALSE,FALSE,,albuminuria; diabetes; obesity; nephropathy; bariatric surgery,obesity; nephropathy; t2dm,,,,9/24/18,Long-term impact of bariatric surgery in diabetic nephropathy.,LeAnne Young; Zubaidah Nor Hanipah; Stacy A Brethauer; Philip R Schauer; Ali Aminian,30251143
198,30251110,Joanna,observational_study,,human,,open_label,efficacy_assessment_demonstration,,,,,,cohort,prospective,adults,FALSE,spain,FALSE,outpatient,TRUE,FALSE,FALSE,FALSE,FALSE,,diabetes; hypertension,hypertension; t2dm,sglt-2 inhibitors; glucagon-like peptide-1 receptor agonist,,,9/24/18,Lowering Blood Pressure with the Combination of a Sodium-Glucose Cotransporter 2 Inhibitor and a Glucagon-like Peptide-1 Receptor Agonist in Type 2 Diabetic Patients: A Clinical Evidence.,JosÃ© Carlos ArÃ©valo-Lorido; Juana Carretero GÃ_mez; Ricardo GÃ_mez Huelgas; Dolores GarcÃ_a de Lucas; Lourdes Mateos Polo; JosÃ© Manuel Varela Aguilar; Javier Ena MuÃ±oz,30251110
199,30251093,Joanna,observational_study,,human,,open_label,other,,,,,,cohort,retrospective,adults,FALSE,turkey,TRUE,outpatient_inpatient,FALSE,FALSE,FALSE,FALSE,TRUE,,obesity; diabetes; bariatric surgery; intestinal metaplasia,obesity; t2dm,oads,,,9/24/18,The Relationship Between Histopathologic Findings and Body Mass Index in Sleeve Gastrectomy Materials.,Yasemen AdalÄ±; Kenan BinnetoÄŸlu; HÃ_seyin Avni EroÄŸlu; Nilhan Kaya; GÃ_lname FÄ±ndÄ±k GÃ_vendi,30251093
200,30250846,Joanna,review,,in_vitro,narrative_review,open_label,,,,,,,other,other,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,insulin resistance; diabetes; dicarbonyl stress; aerobic exercise,insulin resistance; t2dm,,glyoxalase-1,,9/10/18,Dicarbonyl Stress and Glyoxalase-1 in Skeletal Muscle: Implications for Insulin Resistance and Type 2 Diabetes.,Jacob T Mey; Jacob M Haus,30250846
201,30250521,Joanna,interventional_study,,animal,,open_label,other,,randomized,basic_science,parallel,,,,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,diabetes,t2dm,insulin,akt; pi3k,,8/17/18,Sericin enhances the insulin-PI3K/AKT signaling pathway in the liver of a type 2 diabetes rat model.,Chengjun Song; Donghui Liu; Songhe Yang; Luyang Cheng; Enhong Xing; Zhihong Chen,30250521
202,30250474,Joanna,interventional_study,,in_vitro,,open_label,efficacy_assessment_demonstration,efficacy_assessment_demonstration,,basic_science,parallel,,,,adults,FALSE,greece,FALSE,outpatient,FALSE,FALSE,TRUE,FALSE,FALSE,,diabetes; diabetic infections; neutrophil extracellular traps; wound healing,t2dm,clarithromycin,ll-37,,9/10/18,Clarithromycin Enhances the Antibacterial Activity and Wound Healing Capacity in Type 2 Diabetes Mellitus by Increasing LL-37 Load on Neutrophil Extracellular Traps.,Athanasios Arampatzioglou; Dimitrios Papazoglou; Theocharis Konstantinidis; Akrivi Chrysanthopoulou; Alexandros Mitsios; Iliana Angelidou; Ioanna Maroulakou; Konstantinos Ritis; Panagiotis Skendros,30250474
203,30250454,Joanna,review,,human,narrative_review,open_label,,,,,,,other,other,adults,FALSE,multinational,TRUE,outpatient_inpatient,FALSE,FALSE,FALSE,FALSE,FALSE,,"beta cell function; diabetes; obesity; bile acids, microbiome; gastric bypass surgery",obesity; t2dm,,glp-1; sglt-1,,9/10/18,Weight-Independent Mechanisms of Glucose Control After Roux-en-Y Gastric Bypass.,Blandine LaferrÃ¨re; FranÃ§ois Pattou,30250454
204,30250430,Joanna,observational_study,,human,,open_label,other,,,,,,cohort,cross_sectional,elderly,FALSE,usa,FALSE,outpatient,TRUE,FALSE,FALSE,FALSE,FALSE,,vascular risk; diabetes; memory; aging; alzheimerâ€™s disease,alzheimer's disease; t2dm,,,,9/10/18,Reduced Regional Cerebral Blood Flow Relates to Poorer Cognition in Older Adults With Type 2 Diabetes.,Katherine J Bangen; Madeleine L Werhane; Alexandra J Weigand; Emily C Edmonds; Lisa Delano-Wood; Kelsey R Thomas; Daniel A Nation; Nicole D Evangelista; Alexandra L Clark; Thomas T Liu; Mark W Bondi,30250430
205,30250238,Joanna,interventional_study,,in_vitro,,open_label,other,efficacy_assessment_demonstration,,basic_science,parallel,,,,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,insulin resistance; diabetes; steatosis; nafld,diabetes; dm; nafld; steatosis; insulin resistance,,,,9/24/18,Human hepatic 3D spheroids as a model for steatosis and insulin resistance.,Mikael Kozyra; Inger Johansson; Ã…sa Nordling; Shahid Ullah; Volker M Lauschke; Magnus Ingelman-Sundberg,30250238
206,30250231,Joanna,interventional_study,,in_vitro,,open_label,other,,,basic_science,parallel,,,,,FALSE,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,,diabetes,t2dm,,protein/p300-interacting transactivator; protein kinase a,,9/24/18,PHD3 regulates glucose metabolism by suppressing stress-induced signalling and optimising gluconeogenesis and insulin signalling in hepatocytes.,Hiroyuki Yano; Mashito Sakai; Toshiya Matsukawa; Takashi Yagi; Takao Naganuma; Masaru Mitsushima; Satoshi Iida; Yuka Inaba; Hiroshi Inoue; Hiroyuki Unoki-Kubota; Yasushi Kaburagi; Shun-Ichiro Asahara; Yoshiaki Kido; Shiro Minami; Masato Kasuga; Michihiro Matsumoto,30250231
207,30250206,Joanna,observational_study,,human,,open_label,other,,,,,,cohort,cross_sectional,adults,FALSE,sweden,FALSE,outpatient,FALSE,FALSE,TRUE,FALSE,FALSE,,diabetes; inflammation; corneal disease; impaired glucose tolerance,inflammation; t2dm,,tnfrsf9,,9/24/18,Dendritic cell maturation in the corneal epithelium with onset of type 2 diabetes is associated with tumor necrosis factor receptor superfamily member 9.,Neil S Lagali; Reza A Badian; Xu Liu; Tobias R Feldreich; Johan Ã„rnlÃ¶v; Tor Paaske Utheim; Lars B Dahlin; Olov Rolandsson,30250206
208,30250193,Joanna,interventional_study,,animal,,open_label,other,,randomized,basic_science,parallel,,,,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,diabetes; mitochondrial function,diet induced obesity,,,,9/24/18,Restoration of GLP-1 secretion by Berberine is associated with protection of colon enterocytes from mitochondrial overheating in diet-induced obese mice.,Yongning Sun; Chenxi Jin; Xiaoying Zhang; Weiping Jia; Jiamei Le; Jianping Ye,30250193
209,30250034,Joanna,observational_study,,human,,open_label,disease_death_occurence,,,,,,cohort,prospective,adults,FALSE,germany,FALSE,outpatient,TRUE,FALSE,FALSE,FALSE,FALSE,,ascites; diabetes; liver cirrhosis,liver cirrhosis; dm,,hba1c,,9/24/18,"Association Between Type 2 Diabetes Mellitus, HbA1c and the Risk for Spontaneous Bacterial Peritonitis in Patients with Decompensated Liver Cirrhosis and Ascites.",Tammo L Tergast; Hans Laser; Svetlana Gerbel; Michael P Manns; Markus Cornberg; Benjamin Maasoumy,30250034
